,clust,Vehicle Class,Total Claim Amount,Sales Channel,Customer Lifetime Value,Coverage,Effective To Date,EmploymentStatus,Gender,Income,Marital Status,Monthly Premium Auto,Response,Location Code,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Renew Offer Type,Vehicle Size
59,0,Four-Door Car,518.4,Agent,4059.567414,Premium,2/28/11,Disabled,F,11621,Divorced,108,No,Suburban,4,98,0,1,Personal Auto,Offer1,Medsize
60,0,Four-Door Car,312.0,Agent,4458.113369,Basic,2/1/2011,Retired,M,17622,Divorced,65,Yes,Suburban,1,36,1,3,Personal Auto,Offer1,Medsize
61,2,Two-Door Car,504.0,Call Center,8110.333139,Premium,1/22/11,Medical Leave,F,11489,Married,105,No,Suburban,4,50,0,6,Personal Auto,Offer1,Small
62,0,Two-Door Car,863.327324,Agent,3339.764873,Extended,1/15/11,Unemployed,M,0,Single,94,No,Suburban,20,53,0,1,Personal Auto,Offer1,Small
63,0,SUV,104.331355,Agent,24261.01777,Basic,1/27/11,Employed,F,66525,Married,100,No,Rural,0,86,0,2,Personal Auto,Offer1,Medsize
64,0,Four-Door Car,676.391482,Branch,6613.973653,Basic,1/23/11,Unemployed,F,0,Single,63,No,Suburban,21,28,0,2,Personal Auto,Offer3,Large
65,0,Four-Door Car,350.4,Web,2930.693543,Basic,1/31/11,Employed,M,33663,Married,73,No,Suburban,29,71,0,1,Personal Auto,Offer3,Medsize
66,0,SUV,537.6,Agent,8672.194272,Basic,1/26/11,Employed,F,22547,Divorced,112,No,Suburban,7,60,0,3,Corporate Auto,Offer1,Medsize
67,0,Two-Door Car,465.258644,Branch,11638.66926,Extended,10/1/2011,Employed,F,61486,Married,97,No,Urban,5,65,0,2,Personal Auto,Offer4,Small
68,2,Two-Door Car,456.0,Call Center,6846.150323,Extended,1/27/11,Unemployed,F,0,Divorced,95,Yes,Suburban,13,20,0,5,Personal Auto,Offer1,Large
69,0,Four-Door Car,500.254235,Web,11727.77648,Premium,9/1/2011,Disabled,F,29879,Married,102,No,Suburban,17,0,0,2,Personal Auto,Offer3,Medsize
70,0,SUV,281.451042,Agent,22643.83478,Basic,2/24/11,Employed,M,93011,Divorced,113,No,Rural,17,12,0,2,Personal Auto,Offer4,Medsize
71,0,Two-Door Car,5.434505,Web,2614.474305,Basic,11/2/2011,Employed,M,65186,Married,65,No,Rural,29,27,0,1,Personal Auto,Offer2,Large
72,0,Four-Door Car,307.2,Agent,2451.752695,Basic,12/2/2011,Medical Leave,M,26840,Married,64,No,Suburban,1,47,2,1,Personal Auto,Offer1,Medsize
73,2,Sports Car,982.399613,Agent,6781.270203,Basic,4/2/2011,Unemployed,M,0,Single,104,No,Suburban,30,3,1,5,Personal Auto,Offer1,Medsize
74,2,Two-Door Car,467.803638,Branch,4974.801539,Basic,1/18/11,Employed,M,75644,Divorced,65,Yes,Suburban,5,68,3,9,Personal Auto,Offer2,Medsize
75,0,Four-Door Car,350.4,Branch,8591.604933,Basic,11/2/2011,Employed,M,38984,Married,73,No,Suburban,27,38,0,2,Personal Auto,Offer2,Small
76,0,Four-Door Car,29.03416,Call Center,5592.161392,Basic,1/2/2011,Employed,F,71811,Single,71,No,Rural,17,48,0,6,Personal Auto,Offer2,Medsize
77,0,Four-Door Car,321.6,Agent,8009.472833,Basic,2/15/11,Employed,M,20961,Married,67,No,Suburban,20,33,0,2,Personal Auto,Offer2,Medsize
78,0,Four-Door Car,115.728852,Agent,11318.08982,Extended,6/2/2011,Employed,M,38923,Married,99,No,Rural,6,83,2,2,Personal Auto,Offer1,Medsize
79,0,Luxury Car,427.63121,Branch,58166.55351,Basic,2/27/11,Employed,M,61321,Single,186,No,Rural,0,30,1,2,Personal Auto,Offer2,Small
80,0,Two-Door Car,25.807685,Branch,8025.229358,Extended,1/26/11,Unemployed,F,0,Single,77,No,Rural,20,26,0,2,Personal Auto,Offer3,Large
81,2,Four-Door Car,787.993313,Call Center,5780.182197,Basic,2/26/11,Employed,M,51066,Single,74,Yes,Suburban,23,0,0,8,Personal Auto,Offer2,Medsize
82,0,SUV,489.6,Branch,4118.539113,Basic,1/27/11,Employed,M,34378,Married,102,No,Suburban,12,54,0,1,Personal Auto,Offer3,Medsize
83,0,Four-Door Car,302.4,Call Center,2523.07015,Basic,1/16/11,Employed,M,43072,Married,63,No,Suburban,35,15,0,1,Personal Auto,Offer2,Large
84,0,Four-Door Car,475.623251,Agent,6554.216396,Extended,1/27/11,Disabled,F,25222,Single,90,No,Suburban,28,69,0,3,Personal Auto,Offer2,Small
85,0,Four-Door Car,320.849072,Call Center,7703.397294,Basic,2/28/11,Employed,M,36765,Married,66,No,Suburban,15,32,1,2,Personal Auto,Offer1,Medsize
86,0,Four-Door Car,460.8,Agent,5926.729379,Extended,1/25/11,Retired,M,23091,Married,96,Yes,Suburban,28,90,5,5,Personal Auto,Offer1,Medsize
87,0,Four-Door Car,282.151207,Web,2683.470677,Basic,1/1/2011,Employed,F,48269,Married,69,No,Urban,3,79,3,1,Corporate Auto,Offer3,Medsize
88,0,Four-Door Car,321.6,Branch,2695.182419,Basic,1/2/2011,Employed,F,32720,Divorced,67,No,Suburban,13,12,0,1,Personal Auto,Offer3,Medsize
89,2,Four-Door Car,364.8,Branch,6047.02516,Extended,2/19/11,Employed,M,20396,Married,76,Yes,Suburban,15,60,1,4,Personal Auto,Offer1,Medsize
90,0,Two-Door Car,679.827592,Branch,13171.01282,Premium,1/27/11,Medical Leave,M,21513,Married,119,No,Suburban,21,81,1,2,Personal Auto,Offer2,Small
91,0,Two-Door Car,631.743039,Call Center,10656.88195,Extended,2/27/11,Employed,F,72540,Married,88,Yes,Suburban,7,3,0,2,Corporate Auto,Offer2,Medsize
92,0,Four-Door Car,11.879037,Agent,2527.653796,Basic,1/17/11,Employed,F,80744,Married,63,No,Rural,24,84,0,1,Corporate Auto,Offer1,Medsize
93,0,Two-Door Car,350.529033,Branch,2672.095756,Basic,10/2/2011,Employed,M,52822,Married,67,No,Suburban,23,88,0,1,Corporate Auto,Offer1,Small
94,2,Four-Door Car,863.3947,Agent,5313.294035,Extended,1/24/11,Unemployed,F,0,Single,77,No,Suburban,8,10,1,9,Personal Auto,Offer1,Medsize
95,0,Four-Door Car,492.127532,Branch,20946.19251,Basic,2/24/11,Employed,F,69738,Married,74,No,Suburban,2,26,1,2,Personal Auto,Offer1,Large
96,2,SUV,132.588288,Branch,8375.353929,Basic,2/15/11,Medical Leave,F,17780,Married,109,No,Rural,12,18,0,9,Personal Auto,Offer1,Medsize
97,2,Four-Door Car,297.6,Agent,4801.661503,Basic,2/16/11,Medical Leave,M,18107,Married,62,No,Suburban,29,11,0,8,Personal Auto,Offer1,Medsize
98,2,Four-Door Car,269.905129,Web,5745.94334,Basic,1/22/11,Employed,F,57740,Married,74,No,Urban,30,87,3,9,Personal Auto,Offer3,Medsize
99,2,Two-Door Car,380.036697,Agent,6066.115969,Extended,2/25/11,Employed,M,32627,Married,76,No,Suburban,11,60,0,7,Personal Auto,Offer1,Small
100,0,SUV,513.6,Agent,8002.308333,Basic,11/1/2011,Unemployed,F,0,Married,107,Yes,Suburban,3,65,0,3,Personal Auto,Offer1,Medsize
101,0,Four-Door Car,425.266308,Branch,2393.915369,Basic,1/31/11,Unemployed,M,0,Single,70,Yes,Suburban,24,10,0,1,Personal Auto,Offer1,Medsize
102,0,Two-Door Car,49.011099,Call Center,4762.8179,Basic,12/1/2011,Employed,M,65795,Single,62,No,Rural,2,85,1,3,Corporate Auto,Offer3,Medsize
103,0,Four-Door Car,513.6,Branch,4330.38602,Premium,2/16/11,Employed,M,60475,Married,107,Yes,Suburban,9,18,0,1,Personal Auto,Offer2,Medsize
104,0,SUV,936.0,Web,9402.729769,Extended,9/2/2011,Unemployed,F,0,Single,130,No,Suburban,28,88,0,4,Personal Auto,Offer1,Medsize
105,2,Four-Door Car,142.062768,Call Center,6966.694527,Extended,1/19/11,Employed,F,41837,Married,88,No,Rural,29,93,0,9,Personal Auto,Offer1,Small
106,0,Four-Door Car,45.152521,Branch,7694.064293,Basic,4/1/2011,Employed,F,32303,Married,65,No,Rural,13,34,0,2,Personal Auto,Offer3,Medsize
107,0,SUV,561.6,Agent,8717.561149,Basic,9/1/2011,Unemployed,M,0,Married,117,No,Suburban,5,89,1,3,Personal Auto,Offer1,Medsize
108,2,Two-Door Car,30.567357,Agent,5928.748528,Basic,1/27/11,Employed,F,40531,Married,74,No,Rural,17,32,0,9,Personal Auto,Offer1,Medsize
109,0,Four-Door Car,271.606799,Agent,2452.977288,Basic,2/14/11,Employed,M,79898,Married,62,No,Urban,5,86,1,1,Corporate Auto,Offer4,Medsize
110,2,Four-Door Car,408.0,Agent,6701.571657,Extended,2/27/11,Employed,M,56398,Married,85,No,Suburban,4,18,0,7,Personal Auto,Offer4,Small
111,2,Four-Door Car,470.4,Web,7556.24034,Extended,12/2/2011,Employed,M,35257,Divorced,98,No,Suburban,16,2,1,8,Corporate Auto,Offer2,Small
112,2,SUV,784.8,Branch,8492.6988,Basic,2/26/11,Employed,M,27804,Married,109,No,Suburban,19,54,0,7,Personal Auto,Offer2,Medsize
113,0,Four-Door Car,316.8,Agent,7713.494046,Basic,2/20/11,Employed,M,45506,Single,66,No,Suburban,16,32,2,2,Personal Auto,Offer1,Medsize
114,0,Four-Door Car,396.082036,Branch,24084.5352,Basic,2/2/2011,Employed,M,65196,Married,67,No,Suburban,0,54,0,2,Personal Auto,Offer4,Medsize
115,0,SUV,489.6,Agent,7290.069769,Basic,2/15/11,Unemployed,M,0,Married,102,No,Suburban,11,70,1,3,Corporate Auto,Offer1,Medsize
116,0,SUV,638.4,Agent,4772.943848,Extended,2/18/11,Retired,M,20993,Divorced,133,Yes,Suburban,35,90,0,1,Personal Auto,Offer2,Medsize
117,2,Two-Door Car,465.633954,Branch,6806.491395,Extended,1/21/11,Employed,M,37839,Married,86,No,Suburban,35,77,0,9,Personal Auto,Offer2,Medsize
118,0,Two-Door Car,368.400146,Agent,2469.781334,Basic,1/15/11,Employed,F,92711,Single,62,No,Suburban,24,10,0,1,Personal Auto,Offer3,Medsize
119,0,Four-Door Car,236.902001,Call Center,3103.923041,Extended,5/2/2011,Employed,F,74665,Married,78,No,Urban,10,90,2,1,Corporate Auto,Offer2,Medsize
120,0,Two-Door Car,582.679087,Web,2981.875575,Extended,2/24/11,Unemployed,M,0,Married,83,No,Suburban,26,89,0,1,Personal Auto,Offer3,Medsize
121,2,Sports Car,64.109663,Call Center,8902.737595,Basic,5/1/2011,Employed,M,46833,Married,112,No,Rural,6,3,0,9,Personal Auto,Offer1,Medsize
122,2,Two-Door Car,326.4,Branch,5499.447223,Basic,1/28/11,Employed,F,88768,Married,68,No,Suburban,17,77,0,7,Personal Auto,Offer3,Small
123,1,Luxury SUV,921.6,Web,15023.59858,Basic,12/1/2011,Employed,M,28262,Single,192,No,Suburban,9,77,0,3,Personal Auto,Offer3,Medsize
124,0,Four-Door Car,101.89645,Agent,2509.107875,Basic,2/16/11,Employed,F,33555,Married,63,No,Rural,17,11,0,1,Personal Auto,Offer1,Medsize
125,0,Four-Door Car,542.4,Call Center,31221.7481,Premium,3/1/2011,Employed,M,42780,Divorced,113,No,Suburban,10,27,1,2,Personal Auto,Offer1,Medsize
126,0,Four-Door Car,143.747794,Branch,3133.503432,Extended,7/2/2011,Employed,F,58850,Single,78,No,Rural,20,26,0,1,Personal Auto,Offer2,Medsize
127,0,Four-Door Car,424.077159,Branch,3837.451863,Extended,1/13/11,Employed,M,21880,Married,97,No,Urban,29,37,0,1,Special Auto,Offer1,Medsize
128,0,Four-Door Car,316.8,Web,11790.49617,Basic,3/1/2011,Retired,M,25251,Divorced,66,Yes,Suburban,13,43,0,2,Personal Auto,Offer2,Medsize
129,0,Four-Door Car,2.704934,Agent,7838.068321,Basic,2/17/11,Unemployed,F,0,Married,69,No,Rural,9,12,0,2,Personal Auto,Offer2,Medsize
130,0,Sports Car,523.2,Agent,4305.808345,Basic,1/21/11,Employed,M,24188,Married,109,No,Suburban,14,82,0,1,Personal Auto,Offer1,Medsize
131,2,Four-Door Car,113.801497,Branch,5973.976904,Basic,1/26/11,Employed,F,41611,Married,74,No,Rural,14,8,0,8,Special Auto,Offer1,Medsize
132,0,Four-Door Car,192.87572,Call Center,5670.442396,Basic,1/31/11,Employed,F,28406,Married,72,No,Urban,16,35,1,4,Personal Auto,Offer1,Medsize
133,0,Four-Door Car,828.662719,Agent,4731.749346,Premium,2/1/2011,Employed,M,69833,Married,118,No,Suburban,32,99,0,1,Personal Auto,Offer1,Small
134,0,Four-Door Car,532.8,Web,8026.379641,Basic,7/2/2011,Unemployed,F,0,Single,74,No,Suburban,15,91,0,2,Corporate Auto,Offer1,Small
135,0,SUV,975.107098,Agent,4022.963529,Basic,1/26/11,Unemployed,M,0,Single,117,No,Suburban,6,1,0,1,Personal Auto,Offer1,Medsize
136,0,Sports Car,53.798708,Branch,9618.310865,Basic,11/1/2011,Employed,F,80536,Married,119,No,Rural,5,83,0,3,Special Auto,Offer1,Medsize
137,0,Four-Door Car,606.642452,Agent,2274.775451,Basic,1/15/11,Unemployed,F,0,Single,63,No,Suburban,2,5,0,1,Personal Auto,Offer2,Small
138,0,Four-Door Car,289.9122,Branch,9552.926922,Extended,8/2/2011,Employed,F,97732,Married,79,No,Urban,0,70,0,2,Personal Auto,Offer4,Medsize
139,0,Four-Door Car,392.604371,Branch,10388.55323,Extended,11/1/2011,Employed,F,61222,Single,89,No,Urban,20,55,0,2,Special Auto,Offer3,Small
140,0,Two-Door Car,721.242206,Web,2470.121222,Basic,9/1/2011,Unemployed,M,0,Single,74,No,Suburban,7,20,0,1,Personal Auto,Offer4,Large
141,0,SUV,456.52385,Call Center,5619.068508,Premium,4/2/2011,Employed,M,50335,Married,140,No,Urban,9,54,0,1,Personal Auto,Offer1,Medsize
142,2,Sports Car,1087.995426,Branch,9047.119209,Extended,1/21/11,Unemployed,F,0,Single,127,No,Suburban,30,11,0,6,Personal Auto,Offer3,Medsize
143,0,SUV,806.4,Agent,6692.143668,Premium,2/16/11,Employed,M,63221,Married,168,No,Suburban,28,49,0,1,Corporate Auto,Offer3,Medsize
144,0,Four-Door Car,460.8,Agent,3731.504584,Extended,2/24/11,Unemployed,F,0,Married,96,Yes,Suburban,31,34,0,1,Personal Auto,Offer1,Large
145,0,Four-Door Car,251.992083,Web,3660.770258,Extended,1/18/11,Employed,M,64495,Married,92,No,Urban,34,30,0,1,Corporate Auto,Offer4,Medsize
146,0,Four-Door Car,345.6,Call Center,7928.829252,Basic,1/30/11,Unemployed,F,0,Married,72,No,Suburban,7,75,0,2,Corporate Auto,Offer1,Medsize
147,2,Two-Door Car,321.6,Call Center,5011.751577,Basic,9/1/2011,Employed,F,28859,Divorced,67,No,Suburban,24,51,3,4,Corporate Auto,Offer1,Medsize
148,0,Four-Door Car,99.257608,Web,7988.258292,Extended,1/2/2011,Employed,F,77330,Married,99,No,Rural,0,21,0,3,Personal Auto,Offer2,Medsize
149,0,Four-Door Car,504.0,Branch,3885.456401,Premium,2/28/11,Unemployed,M,0,Married,105,Yes,Suburban,3,92,0,1,Corporate Auto,Offer1,Large
150,0,Four-Door Car,336.0,Branch,2659.337982,Basic,1/31/11,Employed,M,24495,Single,70,No,Suburban,29,65,0,1,Personal Auto,Offer4,Small
151,2,Sports Car,178.006524,Agent,8564.768226,Basic,2/17/11,Employed,M,95697,Married,107,Yes,Rural,29,29,0,9,Personal Auto,Offer2,Medsize
152,0,SUV,604.8,Agent,4885.162511,Extended,12/2/2011,Disabled,M,26372,Married,126,No,Suburban,11,7,0,1,Personal Auto,Offer4,Medsize
153,0,SUV,8.312729,Branch,9753.307106,Extended,2/24/11,Medical Leave,F,17514,Married,127,No,Rural,2,5,0,3,Personal Auto,Offer1,Medsize
154,0,Four-Door Car,316.599228,Branch,2946.153697,Basic,1/2/2011,Employed,F,89270,Single,74,No,Urban,17,90,0,1,Personal Auto,Offer2,Medsize
155,0,Four-Door Car,312.0,Web,2581.110945,Basic,6/2/2011,Employed,M,29757,Married,65,No,Suburban,13,55,0,1,Personal Auto,Offer2,Small
156,0,Four-Door Car,56.300724,Agent,3517.385764,Extended,1/23/11,Employed,M,51814,Single,92,No,Rural,28,89,0,1,Personal Auto,Offer3,Medsize
157,0,Four-Door Car,393.6,Agent,9743.350113,Extended,1/21/11,Employed,F,24028,Married,82,No,Suburban,14,27,0,2,Personal Auto,Offer2,Small
158,0,Sports Car,701.708239,Agent,3873.647046,Basic,1/20/11,Retired,M,28142,Married,105,Yes,Suburban,18,50,0,1,Personal Auto,Offer2,Medsize
159,0,Two-Door Car,128.705563,Web,7649.28199,Basic,6/1/2011,Employed,F,52705,Married,64,No,Rural,14,8,1,2,Personal Auto,Offer1,Large
160,0,Two-Door Car,679.368378,Agent,2287.59692,Basic,2/22/11,Unemployed,M,0,Married,63,No,Suburban,1,5,0,1,Corporate Auto,Offer2,Medsize
161,0,SUV,497.126827,Agent,4475.424592,Basic,2/27/11,Employed,F,84903,Married,111,No,Urban,7,63,0,1,Personal Auto,Offer1,Medsize
162,0,SUV,566.4,Agent,8714.922135,Basic,2/21/11,Unemployed,F,0,Divorced,118,Yes,Suburban,14,64,0,4,Personal Auto,Offer1,Medsize
163,0,Four-Door Car,347.857619,Branch,2248.449633,Basic,1/29/11,Retired,F,24910,Single,63,Yes,Suburban,7,63,1,1,Personal Auto,Offer1,Medsize
164,0,Four-Door Car,554.4,Agent,7416.197322,Extended,2/22/11,Unemployed,M,0,Single,77,No,Suburban,15,12,2,2,Personal Auto,Offer1,Medsize
