,cc2_miles,Qual_miles,cc1_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,clust
68,1,0,3,1,24047,12,0,0,6826,2
69,1,0,3,1,12621,16,0,0,7766,2
70,1,5031,2,1,15436,16,1150,4,7766,2
71,1,0,4,1,39787,13,0,0,7787,0
72,1,0,3,1,12500,13,50,1,7801,2
73,1,0,1,1,631,4,631,4,7787,2
74,1,0,3,1,25308,17,0,0,7759,2
75,1,0,3,1,15776,22,0,0,7752,2
76,1,0,1,1,7537,16,0,0,7749,2
77,1,0,4,1,32883,19,0,0,7771,0
78,1,0,4,1,38037,18,0,0,7801,0
79,1,0,5,1,76988,16,556,1,7771,0
80,1,0,1,1,32685,5,0,0,7733,2
81,1,0,1,1,1200,3,1200,3,6837,2
82,1,0,1,1,498,9,0,0,6821,2
83,1,0,1,1,1625,6,0,0,6833,2
84,1,0,1,1,1750,7,0,0,6819,2
85,1,0,5,1,58557,18,900,3,6813,0
86,1,0,1,1,7719,5,0,0,6827,2
87,1,0,3,1,21422,22,1200,8,6820,2
88,1,0,2,1,7672,16,700,1,6819,2
89,1,0,1,1,3500,4,500,1,6807,2
90,1,0,1,1,22250,8,1250,5,6794,2
91,1,0,1,1,2000,4,2000,4,6809,2
92,1,0,4,1,36679,25,0,0,6817,0
93,1,0,1,1,5000,5,1500,3,6785,2
94,1,0,5,1,110859,39,2950,16,6778,0
95,1,0,1,1,2875,16,0,0,6773,2
96,1,0,1,1,5560,23,0,0,6766,2
97,1,0,4,1,44247,16,0,0,6758,0
98,1,0,1,1,1375,4,0,0,6753,2
99,1,0,3,1,20184,13,0,0,6770,2
100,1,1182,5,1,57203,14,0,0,6750,0
101,1,0,1,1,0,0,0,0,6750,2
102,1,0,1,1,0,0,0,0,6749,2
103,1,0,1,1,3861,7,2050,5,6749,2
104,1,0,1,1,0,0,0,0,6745,2
105,1,0,5,1,61096,18,150,2,6760,0
106,1,1182,1,3,49059,26,2300,9,6738,2
107,1,0,1,1,0,0,0,0,6759,2
108,1,0,4,1,46335,14,50,1,6738,0
109,1,0,4,1,32917,26,550,3,6737,0
110,1,0,3,1,18415,15,0,0,7714,2
111,1,0,1,1,8550,11,2550,8,7714,2
112,1,0,5,1,66330,23,4833,10,7710,0
113,1,0,1,1,2015,13,0,0,7707,2
114,1,0,1,1,5422,20,818,2,7700,2
115,1,0,3,1,23260,25,0,0,7698,2
116,1,0,2,1,7346,11,0,0,7689,2
117,1,0,1,1,2500,3,1000,2,7718,2
118,1,0,3,1,24222,15,0,0,7682,2
119,1,0,1,1,2625,7,0,0,7682,2
120,1,0,1,1,1000,1,0,0,7683,2
121,1,0,5,1,126630,45,2250,10,7668,0
122,1,0,4,1,37266,18,1050,3,7661,0
123,1,0,3,1,24768,19,0,0,7659,2
124,1,0,4,1,42775,13,0,0,7654,0
125,1,500,4,1,37670,18,1500,3,7654,0
126,1,0,5,1,194753,26,2250,10,7652,0
127,1,0,4,1,56308,41,5200,14,7645,0
128,1,0,2,1,10123,14,0,0,6737,2
129,1,0,4,1,37461,22,0,0,6732,0
130,1,0,1,1,0,0,0,0,6730,2
131,1,0,1,1,1095,3,335,1,6730,2
132,1,0,1,1,8000,4,0,0,6746,2
133,1,0,1,1,10850,11,1850,6,6725,2
134,1,0,3,1,15155,15,0,0,6761,2
135,1,1776,1,1,19172,26,7172,23,6723,2
136,1,0,4,1,29099,15,0,0,6722,0
137,1,0,4,1,53552,22,700,3,6718,0
138,1,0,1,1,8578,25,0,0,6716,2
139,1,0,1,1,3500,14,0,0,6715,2
140,1,0,1,1,0,0,0,0,6711,2
141,1,0,1,1,0,0,0,0,6709,2
142,1,0,1,1,450,2,450,2,6707,2
143,1,0,4,1,35021,17,0,0,6701,0
144,1,0,3,1,16857,17,0,0,6697,2
145,1,0,1,1,7600,8,1600,5,6708,2
146,1,0,1,1,100,1,0,0,6693,2
147,1,0,5,1,58208,17,1500,2,6689,0
148,1,0,3,1,20415,17,0,0,6736,2
149,1,0,1,1,205,5,0,0,6689,2
150,1,0,4,1,42403,22,1718,4,6683,0
151,1,0,5,1,211284,18,2250,6,7640,0
152,1,0,5,1,60808,20,500,1,7640,0
153,1,0,1,1,4581,15,0,0,7634,2
154,1,0,4,1,37655,14,0,0,7631,0
155,1,0,4,1,52574,21,500,1,7626,0
156,1,0,3,1,19926,12,0,0,7624,2
157,1,0,3,1,12313,12,0,0,7619,2
158,1,0,5,1,59852,21,0,0,7612,0
159,1,0,1,1,5860,12,0,0,7613,2
160,1,0,3,1,18500,19,0,0,7598,2
161,1,0,5,1,55323,17,1500,1,7598,0
162,1,0,1,1,18604,6,3604,2,7598,2
163,1,0,4,1,30298,19,0,0,7591,0
164,1,0,3,1,15489,18,0,0,7634,2
165,1,0,1,1,180,6,0,0,7582,2
166,1,0,1,1,5269,18,0,0,7584,2
167,1,0,5,1,74800,15,0,0,7582,0
168,1,0,4,1,44615,16,0,0,7577,0
169,1,0,4,1,45230,20,700,2,7575,0
170,1,0,5,1,67335,13,0,0,7570,0
171,1,0,1,1,0,0,0,0,7575,2
172,1,0,3,1,23740,6,1000,2,7563,2
173,1,0,1,1,15656,13,3250,6,7561,2
174,1,0,4,1,42301,21,0,0,7588,0
175,1,0,4,1,43533,19,900,4,7575,0
176,1,0,1,1,7357,19,200,2,7572,2
177,1,1745,2,1,7368,12,0,0,7549,2
178,1,0,1,1,500,1,0,0,7544,2
179,1,0,1,1,1125,7,750,4,7575,2
180,1,0,1,1,10735,27,0,0,7540,2
181,1,0,3,1,17086,16,1500,3,7537,2
182,1,0,1,1,50,1,50,1,7569,2
183,1,0,2,1,8860,14,0,0,7533,2
184,1,0,3,1,23640,17,0,0,7533,2
185,1,0,3,1,11694,13,0,0,7530,2
186,1,0,4,1,57173,40,3450,12,7523,0
187,1,0,1,1,3250,8,0,0,7521,2
188,1,0,5,1,73679,31,0,0,7514,0
189,1,0,1,1,2954,13,232,1,7509,2
190,1,0,5,1,240544,31,500,2,7507,0
191,1,733,4,1,44373,38,3928,17,7575,0
192,1,0,5,1,107813,24,0,0,7500,0
193,1,2398,1,1,0,0,0,0,7498,2
194,1,0,1,1,100,1,0,0,7493,2
195,1,0,1,1,0,0,0,0,7493,2
196,1,0,5,1,61857,26,0,0,7488,0
197,1,0,3,1,19670,21,0,0,7488,2
198,3,0,1,1,11397,16,0,0,7486,2
199,1,0,4,1,36001,17,150,1,7484,0
200,1,0,4,1,26948,14,0,0,7481,0
201,1,0,2,1,13878,20,1400,10,7479,2
202,1,0,1,1,486,2,0,0,7477,2
203,1,0,5,1,79687,18,500,1,7474,0
204,1,0,1,1,0,0,0,0,7472,2
205,1,0,1,1,2278,9,0,0,7460,2
206,1,0,5,1,92159,30,1329,4,7518,0
207,1,1250,1,1,3694,12,1150,3,7467,2
208,1,0,3,1,18009,18,0,0,7524,2
209,1,0,1,1,0,0,0,0,7467,2
210,1,0,5,1,99612,34,600,4,7463,0
211,1,0,1,1,2947,8,0,0,7463,2
212,1,0,1,1,4671,14,0,0,7498,2
213,1,0,3,1,20087,15,0,0,7498,2
214,1,0,1,1,2700,1,2700,1,7498,2
215,1,0,4,1,27308,14,0,0,7456,0
216,1,0,1,1,1134,9,0,0,7498,2
217,1,0,1,1,7069,4,0,0,7444,2
218,1,0,3,1,24156,22,0,0,7439,2
219,1,0,4,1,45891,15,0,0,7437,0
220,1,2706,5,1,90653,32,3050,7,7467,0
221,1,0,5,1,68754,35,550,2,7467,0
222,1,0,1,1,2750,10,250,1,7435,2
223,1,0,1,1,750,6,0,0,7467,2
224,1,0,3,1,10849,14,0,0,7416,2
225,1,0,2,1,5570,11,0,0,7467,2
226,2,0,1,1,6448,11,0,0,7416,2
227,1,0,4,1,36362,15,250,1,7467,0
228,1,0,2,1,7164,15,300,2,7416,2
229,1,0,5,1,58689,15,0,0,7409,0
230,1,0,3,1,23987,13,0,0,7415,2
231,1,0,5,1,56524,22,0,0,7404,0
232,1,0,1,1,6039,15,0,0,7404,2
233,1,0,2,1,8764,13,0,0,7395,2
234,1,0,2,1,9057,13,0,0,7397,2
235,1,0,2,1,19489,17,273,1,7397,2
236,1,0,1,1,3125,12,500,1,7388,2
237,1,0,1,1,8471,18,500,1,7406,2
238,1,0,5,1,97683,37,6400,18,7360,0
239,1,0,1,1,3853,6,0,0,7406,2
240,1,0,5,1,88987,25,0,0,7406,0
241,1,0,2,1,5002,14,0,0,7374,2
242,1,0,4,1,41186,13,0,0,7369,0
243,1,0,5,1,66222,37,2250,17,7354,0
244,1,0,5,1,141615,22,0,0,7348,0
245,1,0,4,1,56076,19,3850,11,7375,0
246,1,0,1,1,5300,9,2200,6,7344,2
247,1,0,1,1,4425,9,0,0,7361,2
248,1,0,5,1,60990,14,0,0,7344,0
249,1,0,2,1,9620,13,50,1,7406,2
250,1,0,1,1,1925,8,0,0,7375,2
251,1,0,1,1,5875,32,0,0,7341,2
252,1,0,3,1,21584,17,1050,2,7406,2
253,1,0,3,1,14711,15,0,0,7339,2
254,1,0,1,1,12500,4,0,0,7339,2
255,1,0,5,1,61515,12,0,0,7375,0
256,1,0,1,1,8534,14,2100,9,7375,2
257,1,0,2,1,14938,26,0,0,7327,2
258,1,0,1,1,6303,6,500,1,7323,2
259,1,0,5,1,77122,18,250,3,7375,0
260,1,0,1,1,605,3,500,1,7323,2
261,1,0,1,1,1319,12,0,0,7316,2
262,1,0,2,1,11095,13,0,0,7375,2
263,1,0,2,1,10267,18,200,3,7345,2
264,1,0,1,1,5400,5,1400,3,7311,2
265,1,0,3,1,23097,16,0,0,7345,2
266,1,0,1,1,0,0,0,0,7304,2
267,1,0,1,1,4000,1,0,0,7345,2
268,1,0,4,1,46473,34,950,4,7296,0
269,1,0,5,1,120907,22,0,0,7290,0
270,1,0,3,1,19019,15,0,0,7292,2
271,1,0,5,1,67286,7,0,0,7288,0
272,1,0,5,1,74993,15,0,0,7288,0
273,1,0,1,1,2100,4,1000,2,7285,2
274,1,0,1,1,0,0,0,0,7283,2
275,1,0,1,1,17108,32,4823,23,7283,2
276,1,0,1,1,0,0,0,0,7277,2
277,1,0,3,1,12423,29,0,0,7276,2
278,1,0,1,1,980,2,0,0,7274,2
279,1,0,5,1,57642,14,0,0,7271,0
280,1,0,1,1,4600,4,0,0,7269,2
281,1,0,4,1,38740,18,850,2,7267,0
282,1,1745,1,1,8487,9,0,0,7267,2
283,1,0,1,1,5300,8,1300,5,7260,2
284,1,0,4,1,36776,14,0,0,7260,0
285,1,0,4,1,46349,20,2309,3,7332,0
286,1,0,5,1,68320,17,0,0,7255,0
287,1,0,2,1,11326,24,0,0,7253,2
288,1,0,5,1,57713,19,0,0,7250,0
289,1,0,4,1,37459,15,0,0,7246,0
290,1,0,5,1,67121,16,1000,2,7243,0
291,1,0,5,1,95082,17,500,1,7229,0
292,1,0,5,1,84800,20,0,0,7279,0
293,1,0,1,1,3875,17,0,0,7229,2
294,1,0,1,1,0,0,0,0,7229,2
295,1,0,4,1,39743,14,0,0,7254,0
296,1,500,4,1,38408,16,150,1,7227,0
297,1,0,3,1,20521,16,0,0,7220,2
298,1,0,4,1,42141,30,2400,13,7222,0
299,1,0,1,1,0,0,0,0,7220,2
300,1,0,1,1,750,4,750,4,7232,2
301,1,0,1,1,7100,12,0,0,7218,2
302,1,0,4,1,49198,20,0,0,7215,0
303,1,0,4,1,28200,27,0,0,7213,0
304,1,0,3,1,14750,9,0,0,7206,2
305,1,0,4,1,52081,24,0,0,7201,0
306,1,0,1,1,7478,16,0,0,7197,2
307,1,2998,1,1,8001,25,3226,15,7326,2
308,1,0,2,1,7572,7,0,0,7192,2
309,1,0,1,1,2100,4,500,1,7194,2
310,1,0,4,1,30476,15,0,0,7187,0
311,1,0,4,1,37534,17,0,0,7185,0
312,1,0,4,1,28765,17,0,0,7183,0
313,1,0,5,1,119162,20,1750,4,7183,0
314,1,0,3,1,17819,12,1000,2,7173,2
315,1,2556,1,1,9275,16,1400,4,7226,2
316,1,0,1,1,1000,1,0,0,7173,2
317,1,0,1,1,3917,10,0,0,7254,2
318,1,0,1,1,11398,3,398,1,7162,2
319,1,0,1,1,6500,3,0,0,7162,2
320,1,0,3,1,13544,17,0,0,7162,2
321,1,0,3,1,32404,20,1000,2,7159,2
322,1,0,4,1,51399,16,0,0,7193,0
323,1,0,1,1,21666,19,9166,16,7155,2
324,1,0,3,1,11930,14,0,0,7155,2
325,1,0,1,1,258,2,258,2,7141,2
326,1,0,2,1,11793,21,0,0,7250,2
327,1,0,5,1,114329,26,6078,8,7164,0
328,1,0,5,1,63738,29,600,4,7153,0
329,1,0,1,1,3875,23,0,0,7130,2
330,1,0,5,1,66879,10,0,0,7130,0
331,1,0,1,1,0,0,0,0,7130,2
332,1,0,3,1,15672,21,150,1,7117,2
333,1,0,1,1,0,0,0,0,7120,2
334,1,0,4,1,44299,18,0,0,7101,0
335,1,6727,4,1,57313,27,1000,2,7101,0
336,1,1374,4,1,37663,22,0,0,7120,0
337,1,0,1,1,0,0,0,0,7172,2
338,1,0,1,1,1500,5,0,0,7117,2
339,1,0,3,1,24831,12,0,0,7314,2
340,1,0,4,1,63960,20,200,1,7110,0
341,1,0,2,1,15149,39,0,0,7110,2
342,1,0,1,1,0,0,0,0,7314,2
343,1,0,1,2,19140,11,0,0,7101,2
344,1,0,1,1,1500,5,0,0,7099,2
345,1,0,4,1,36532,9,0,0,7099,0
346,1,0,3,1,17636,15,0,0,7092,2
347,1,0,5,1,60447,12,0,0,7092,0
348,1,0,4,1,37772,14,0,0,7092,0
349,1,0,1,1,11268,2,0,0,7085,2
350,1,0,1,1,1250,3,0,0,7132,2
351,1,0,3,1,20802,14,0,0,7078,2
352,1,0,1,1,100,1,100,1,7078,2
353,1,0,1,1,0,0,0,0,7073,2
354,1,0,3,1,14462,20,1650,6,7064,2
355,1,0,2,1,7491,13,0,0,7064,2
356,1,0,1,1,3000,3,1000,2,7064,2
357,1,0,4,1,40108,15,150,2,7059,0
358,1,0,1,1,0,0,0,0,7057,2
359,1,0,1,1,3189,13,0,0,7054,2
360,1,0,1,1,12200,47,1950,9,7050,2
361,1,0,1,1,140,1,0,0,7050,2
362,1,0,4,1,38127,14,500,1,7047,0
363,1,0,1,1,160,1,0,0,7043,2
364,1,0,2,1,8612,13,0,0,7036,2
365,1,0,1,1,500,1,500,1,7029,2
366,1,0,1,1,1000,1,0,0,7029,2
367,1,0,1,1,0,0,0,0,7024,2
368,1,0,1,1,225,3,0,0,7026,2
369,1,0,5,1,126941,20,0,0,7026,0
370,1,0,1,1,6568,15,0,0,7024,2
371,1,0,3,1,19407,25,2211,12,7024,2
372,1,0,5,1,62666,27,0,0,7019,0
373,1,0,1,1,0,0,0,0,7022,2
374,1,0,2,1,10574,19,0,0,7017,2
375,1,0,1,1,29900,24,5300,15,7015,2
376,1,0,1,1,300,2,200,1,7010,2
377,1,0,3,1,20853,21,350,1,7001,2
378,1,0,1,1,0,0,0,0,7040,2
379,1,0,4,1,36907,17,0,0,6998,0
380,1,0,5,1,230629,30,6393,13,6996,0
381,3,0,1,1,15907,13,0,0,6994,2
382,1,0,4,1,42293,21,500,1,6980,0
383,1,0,4,1,66516,26,1600,6,6980,0
384,1,0,5,4,103456,32,0,0,6980,0
385,1,0,3,1,18157,16,0,0,6974,2
386,1,0,2,1,11665,21,0,0,6977,2
387,1,0,4,1,28717,19,0,0,8296,0
388,1,0,3,1,17855,14,500,1,8296,2
389,1,0,1,1,1244,8,0,0,8296,2
390,1,0,2,1,11402,18,1450,5,8296,2
391,1,0,3,1,20792,15,0,0,8296,2
392,2,0,1,1,9044,20,0,0,8296,2
393,1,0,1,1,140,1,0,0,8296,2
394,1,0,1,1,7142,18,0,0,8296,2
395,1,0,1,1,955,9,0,0,8296,2
396,1,0,1,1,2000,9,0,0,8296,2
397,1,0,1,1,0,0,0,0,8296,2
398,1,0,1,1,1205,4,0,0,8296,2
399,1,0,1,1,913,3,0,0,8296,2
400,1,0,2,1,5471,13,0,0,8296,2
401,1,0,1,1,1024,8,359,2,8296,2
402,1,0,2,1,8510,12,0,0,8296,2
403,1,0,1,1,0,0,0,0,8296,2
404,1,1952,5,1,102279,32,4485,13,8296,0
405,1,0,5,1,59858,16,0,0,8296,0
406,1,0,1,1,0,0,0,0,8296,2
407,1,0,1,1,6000,3,0,0,8296,2
408,1,0,1,1,0,0,0,0,8296,2
409,1,0,1,1,1296,6,0,0,8296,2
410,1,0,5,1,25395,53,1750,14,8296,0
411,1,0,4,1,37723,15,0,0,8296,0
412,1,0,4,1,66983,38,5500,17,8296,0
413,1,0,5,1,74340,16,200,2,8296,0
414,1,0,1,1,0,0,0,0,8296,2
415,1,0,2,1,10462,16,0,0,8296,2
416,1,0,3,1,22831,13,0,0,8296,2
417,1,0,1,1,240,3,0,0,8296,2
418,1,2000,3,1,16081,8,0,0,8296,2
419,1,1178,1,1,0,0,0,0,8296,2
420,1,7210,1,1,23866,26,7741,15,8296,2
421,1,0,1,1,500,1,0,0,8296,2
422,1,0,4,1,3501,15,0,0,8296,0
423,1,0,5,1,129330,16,1000,2,8296,0
424,1,0,5,1,62758,15,0,0,8296,0
425,1,0,4,1,28731,17,400,2,8289,0
426,1,0,1,1,9000,1,0,0,8289,2
427,1,0,5,1,68007,23,700,2,8289,0
428,1,0,1,1,2310,6,500,1,8289,2
429,1,0,4,1,36269,24,0,0,8289,0
430,1,0,1,1,0,0,0,0,8289,2
431,1,0,1,1,0,0,0,0,8289,2
432,1,0,1,1,1000,1,0,0,8289,2
433,1,0,5,1,56567,18,0,0,8289,0
434,1,0,1,1,4600,11,600,8,8289,2
435,1,0,1,1,0,0,0,0,8289,2
436,1,0,4,1,46588,21,0,0,8289,0
437,1,0,4,1,141230,28,1450,5,8289,0
438,1,0,4,1,49383,13,0,0,8289,0
439,1,0,1,1,1000,8,0,0,8289,2
440,1,0,1,1,2030,6,0,0,8289,2
441,1,0,3,1,24775,31,350,1,8289,2
442,1,0,1,1,6000,7,3000,6,8289,2
443,1,0,2,1,6290,14,0,0,8289,2
444,1,0,3,1,39010,53,1750,8,8289,0
445,1,0,1,1,12900,10,1400,8,8289,2
446,1,0,3,1,22873,13,0,0,8289,2
447,1,0,1,1,100,1,0,0,8289,2
448,1,0,3,1,23608,16,500,1,8289,2
449,1,0,1,1,1759,4,759,3,8289,2
450,1,0,4,1,40997,14,0,0,8289,0
451,1,0,1,1,500,1,0,0,8289,2
452,1,0,3,1,24155,22,0,0,8289,2
453,1,0,5,1,61714,16,0,0,8289,0
454,1,0,1,1,6498,18,950,5,8289,2
455,1,0,1,1,0,0,0,0,8289,2
456,1,0,3,1,15476,20,150,1,8289,2
457,1,0,2,1,9018,11,0,0,8289,2
458,1,0,4,1,28613,14,0,0,8252,0
459,1,0,3,1,17078,14,0,0,8237,2
460,1,0,1,1,4389,12,0,0,8228,2
461,1,0,3,1,19946,15,0,0,8228,2
462,1,0,2,1,9872,13,0,0,8228,2
463,1,0,1,1,2522,4,0,0,8228,2
464,1,0,1,1,2991,15,0,0,8228,2
465,1,0,5,1,136619,34,3000,6,8228,0
466,1,2015,5,1,60883,26,2600,9,8228,0
467,1,0,5,1,95531,17,0,0,8228,0
468,1,0,1,1,3708,22,0,0,8228,2
469,1,0,1,1,2100,5,600,4,8228,2
470,1,0,1,1,125,1,0,0,8228,2
471,1,2066,1,1,4100,20,2500,18,8228,2
472,1,0,5,1,63463,13,250,1,8228,0
473,1,0,3,1,11870,15,100,1,8228,2
474,1,0,1,1,5021,16,600,2,8228,2
475,1,0,3,1,40090,55,6381,23,8151,0
476,1,0,1,1,3982,16,0,0,8145,2
477,1,0,4,1,25802,14,500,1,8137,0
478,1,0,4,1,33047,21,0,0,8146,0
479,1,0,3,1,21248,26,2050,7,8121,2
480,1,0,2,1,8253,21,0,0,8114,2
481,1,0,3,1,23046,14,0,0,8107,2
482,1,500,1,1,2500,1,0,0,8095,2
483,1,0,1,1,6325,21,1700,5,8085,2
484,1,2128,1,1,1250,3,0,0,8075,2
485,1,0,3,1,18348,13,0,0,8067,2
486,1,0,5,1,101101,19,700,2,8057,0
487,1,0,1,1,4240,6,1600,4,8114,2
488,1,2919,1,1,3800,19,3300,18,8023,2
489,1,0,3,1,13415,16,350,2,8009,2
490,1,0,1,1,5000,10,0,0,8002,2
491,1,0,1,1,9689,38,500,1,7990,2
492,1,0,5,1,78186,32,3400,12,7981,0
493,1,0,1,1,0,0,0,0,7966,2
494,1,0,4,1,37380,21,1300,4,7956,0
495,1,0,1,1,1250,3,0,0,8007,2
496,1,0,2,1,8747,14,0,0,7945,2
497,1,0,1,1,0,0,0,0,7939,2
498,1,0,1,1,0,0,0,0,7939,2
499,1,0,5,1,57354,25,0,0,8105,0
500,1,0,1,1,11137,34,4387,12,8105,2
501,1,0,4,1,35528,22,0,0,8105,0
502,1,0,1,1,0,0,0,0,6790,2
503,1,0,5,1,97584,19,550,2,6679,0
504,1,0,1,1,100,1,0,0,6675,2
505,1,0,5,1,79837,28,50,1,6667,0
506,1,0,4,1,32560,12,0,0,6666,0
507,1,0,1,1,5172,13,0,0,6662,2
508,1,0,1,1,100,1,0,0,6676,2
509,1,0,1,1,3297,13,0,0,6653,2
510,1,1024,5,1,98959,29,850,4,6652,0
511,1,589,1,1,10348,34,3000,25,6651,2
512,1,0,4,1,51197,22,350,2,6648,0
513,1,0,1,1,5190,6,0,0,6646,2
514,1,0,4,1,28075,17,0,0,6646,0
515,1,0,5,1,63803,16,0,0,6645,0
516,1,0,1,1,9039,32,0,0,6641,2
517,1,2880,5,1,71921,30,2600,7,6638,0
518,1,0,4,1,46606,13,0,0,6637,0
519,1,0,1,1,31465,24,1700,10,6633,2
520,1,0,1,1,8185,17,0,0,6630,2
521,1,0,1,1,4040,6,450,2,6627,2
522,1,0,4,1,47994,15,500,1,6625,0
523,1,0,1,1,2000,1,0,0,6624,2
524,1,0,1,1,6828,11,0,0,6618,2
525,1,0,1,1,4942,13,0,0,6613,2
526,1,0,4,1,26926,13,0,0,6611,0
527,1,500,4,1,34308,17,900,3,6606,0
528,1,0,4,1,45890,22,0,0,6603,0
529,1,0,3,1,12040,12,0,0,6690,2
530,1,0,1,1,2500,1,0,0,6598,2
531,1,1776,5,1,124421,45,10250,28,6621,0
532,1,3445,5,1,64450,20,1000,2,6592,0
533,1,0,1,1,625,4,0,0,6588,2
534,1,0,5,1,263685,51,3000,6,6584,0
535,1,0,3,1,18885,18,0,0,6578,2
536,1,0,1,1,4500,3,500,1,6576,2
537,1,0,4,1,46718,17,0,0,6575,0
538,1,0,1,1,0,0,0,0,6570,2
539,1,0,1,1,2197,10,0,0,6569,2
540,1,0,1,1,2775,11,0,0,6647,2
541,1,0,1,1,7551,22,0,0,6473,2
542,1,0,1,1,252,3,0,0,6208,2
543,1,0,1,1,180,1,0,0,6491,2
544,1,0,1,1,6500,4,500,1,6354,2
545,1,0,1,1,19000,5,0,0,6119,2
546,1,0,5,1,90992,21,0,0,6567,0
547,1,0,4,1,25048,14,0,0,6634,0
548,1,0,1,1,2050,8,1300,2,6675,2
549,1,0,3,1,29823,33,6568,16,6561,0
550,1,0,3,1,18604,13,0,0,6556,2
551,1,0,2,1,7769,12,350,1,6599,2
552,1,0,1,1,4833,20,0,0,6519,2
553,1,0,1,1,190,2,0,0,6507,2
554,1,0,3,1,23387,17,0,0,6555,2
555,1,0,1,1,3000,1,0,0,6554,2
556,1,0,1,1,0,0,0,0,6549,2
557,1,0,1,1,500,1,0,0,6549,2
558,1,0,1,1,735,6,500,1,6575,2
559,1,0,1,1,290,1,0,0,6565,2
560,1,0,3,1,12678,12,0,0,6541,2
561,2,0,2,1,22485,25,213,1,6539,2
562,1,0,1,1,7700,11,950,4,6539,2
563,1,0,4,1,41004,14,0,0,6535,0
564,1,0,5,1,63811,17,0,0,6550,0
565,1,0,3,1,23522,16,650,2,6532,2
566,1,0,3,1,14331,16,800,3,6541,2
567,1,0,4,1,41264,16,0,0,6526,0
568,1,0,1,1,1600,1,0,0,6525,2
569,1,0,1,1,0,0,0,0,6520,2
570,1,0,1,1,2000,1,0,0,6519,2
571,1,0,4,1,29089,13,0,0,6529,0
572,1,0,1,1,4570,14,0,0,6514,2
573,1,862,1,1,2602,7,0,0,6512,2
574,1,0,5,1,81040,23,1000,2,6508,0
