,Bonus_trans,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles
307,25,383030,2998,1,1,1,8001
308,7,112969,0,2,1,1,7572
309,4,46430,0,1,1,1,2100
310,15,179433,0,4,1,1,30476
311,17,20746,0,4,1,1,37534
312,17,61455,0,4,1,1,28765
313,20,714717,0,5,1,1,119162
314,12,179559,0,3,1,1,17819
315,16,119977,2556,1,1,1,9275
316,1,16928,0,1,1,1,1000
317,10,65316,0,1,1,1,3917
318,3,766419,0,1,1,1,11398
319,3,52060,0,1,1,1,6500
320,17,84700,0,3,1,1,13544
321,20,205523,0,3,1,1,32404
322,16,20457,0,4,1,1,51399
323,19,278727,0,1,1,1,21666
324,14,50325,0,3,1,1,11930
325,2,455228,0,1,1,1,258
326,21,73849,0,2,1,1,11793
327,26,388455,0,5,1,1,114329
328,29,138999,0,5,1,1,63738
329,23,65573,0,1,1,1,3875
330,10,172288,0,5,1,1,66879
331,0,47958,0,1,1,1,0
332,21,133002,0,3,1,1,15672
333,0,42363,0,1,1,1,0
334,18,133370,0,4,1,1,44299
335,27,278457,6727,4,1,1,57313
336,22,105166,1374,4,1,1,37663
337,0,34956,0,1,1,1,0
338,5,46963,0,1,1,1,1500
339,12,55788,0,3,1,1,24831
340,20,174910,0,4,1,1,63960
341,39,13812,0,2,1,1,15149
342,0,38718,0,1,1,1,0
343,11,112501,0,1,1,2,19140
344,5,54005,0,1,1,1,1500
345,9,66863,0,4,1,1,36532
346,15,93045,0,3,1,1,17636
347,12,197328,0,5,1,1,60447
348,14,151301,0,4,1,1,37772
349,2,87938,0,1,1,1,11268
350,3,15283,0,1,1,1,1250
351,14,105423,0,3,1,1,20802
352,1,312512,0,1,1,1,100
353,0,13680,0,1,1,1,0
354,20,41279,0,3,1,1,14462
355,13,25313,0,2,1,1,7491
356,3,148691,0,1,1,1,3000
357,15,224081,0,4,1,1,40108
358,0,51088,0,1,1,1,0
359,13,95305,0,1,1,1,3189
360,47,22080,0,1,1,1,12200
361,1,11660,0,1,1,1,140
362,14,222227,0,4,1,1,38127
363,1,16200,0,1,1,1,160
364,13,38227,0,2,1,1,8612
365,1,80214,0,1,1,1,500
366,1,53985,0,1,1,1,1000
367,0,14414,0,1,1,1,0
368,3,44457,0,1,1,1,225
369,20,161813,0,5,1,1,126941
370,15,138020,0,1,1,1,6568
371,25,107707,0,3,1,1,19407
372,27,95656,0,5,1,1,62666
373,0,149678,0,1,1,1,0
374,19,15113,0,2,1,1,10574
375,24,231,0,1,1,1,29900
376,2,22380,0,1,1,1,300
377,21,146263,0,3,1,1,20853
378,0,24598,0,1,1,1,0
379,17,76150,0,4,1,1,36907
380,30,377252,0,5,1,1,230629
381,13,167670,0,1,3,1,15907
382,21,86853,0,4,1,1,42293
383,26,479989,0,4,1,1,66516
384,32,28193,0,5,1,4,103456
385,16,67086,0,3,1,1,18157
386,21,35969,0,2,1,1,11665
387,19,53790,0,4,1,1,28717
388,14,198859,0,3,1,1,17855
389,8,91939,0,1,1,1,1244
390,18,88449,0,2,1,1,11402
391,15,54842,0,3,1,1,20792
392,20,11189,0,1,2,1,9044
393,1,16999,0,1,1,1,140
394,18,114713,0,1,1,1,7142
395,9,1612,0,1,1,1,955
396,9,97763,0,1,1,1,2000
397,0,15129,0,1,1,1,0
398,4,15669,0,1,1,1,1205
399,3,26720,0,1,1,1,913
400,13,205292,0,2,1,1,5471
401,8,56635,0,1,1,1,1024
402,12,127297,0,2,1,1,8510
403,0,8927,0,1,1,1,0
404,32,507506,1952,5,1,1,102279
405,16,145723,0,5,1,1,59858
406,0,6458,0,1,1,1,0
407,3,267640,0,1,1,1,6000
408,0,5581,0,1,1,1,0
409,6,10732,0,1,1,1,1296
410,53,620498,0,5,1,1,25395
411,15,68963,0,4,1,1,37723
412,38,109640,0,4,1,1,66983
413,16,225802,0,5,1,1,74340
414,0,58452,0,1,1,1,0
415,16,109087,0,2,1,1,10462
416,13,68286,0,3,1,1,22831
417,3,68464,0,1,1,1,240
418,8,131960,2000,3,1,1,16081
419,0,199956,1178,1,1,1,0
420,26,529886,7210,1,1,1,23866
421,1,23529,0,1,1,1,500
422,15,190295,0,4,1,1,3501
423,16,21083,0,5,1,1,129330
424,15,117860,0,5,1,1,62758
425,17,118844,0,4,1,1,28731
426,1,60493,0,1,1,1,9000
427,23,491987,0,5,1,1,68007
428,6,87692,0,1,1,1,2310
429,24,78028,0,4,1,1,36269
430,0,251286,0,1,1,1,0
431,0,17575,0,1,1,1,0
432,1,50431,0,1,1,1,1000
433,18,153597,0,5,1,1,56567
434,11,74579,0,1,1,1,4600
435,0,2494,0,1,1,1,0
436,21,96031,0,4,1,1,46588
437,28,353678,0,4,1,1,141230
438,13,50052,0,4,1,1,49383
439,8,13381,0,1,1,1,1000
440,6,25123,0,1,1,1,2030
441,31,132555,0,3,1,1,24775
442,7,14528,0,1,1,1,6000
443,14,24038,0,2,1,1,6290
444,53,192104,0,3,1,1,39010
445,10,106773,0,1,1,1,12900
446,13,229397,0,3,1,1,22873
447,1,14732,0,1,1,1,100
448,16,383129,0,3,1,1,23608
449,4,11431,0,1,1,1,1759
450,14,175461,0,4,1,1,40997
451,1,52953,0,1,1,1,500
452,22,182291,0,3,1,1,24155
453,16,198317,0,5,1,1,61714
454,18,49053,0,1,1,1,6498
455,0,22772,0,1,1,1,0
456,20,34170,0,3,1,1,15476
457,11,158483,0,2,1,1,9018
458,14,43285,0,4,1,1,28613
459,14,52980,0,3,1,1,17078
460,12,74342,0,1,1,1,4389
461,15,139849,0,3,1,1,19946
462,13,26080,0,2,1,1,9872
463,4,29469,0,1,1,1,2522
464,15,189252,0,1,1,1,2991
465,34,382546,0,5,1,1,136619
466,26,1113394,2015,5,1,1,60883
467,17,459681,0,5,1,1,95531
468,22,83590,0,1,1,1,3708
469,5,82528,0,1,1,1,2100
470,1,5600,0,1,1,1,125
471,20,743745,2066,1,1,1,4100
472,13,43954,0,5,1,1,63463
473,15,52005,0,3,1,1,11870
474,16,45494,0,1,1,1,5021
475,55,171509,0,3,1,1,40090
476,16,235947,0,1,1,1,3982
477,14,153108,0,4,1,1,25802
478,21,260261,0,4,1,1,33047
479,26,80223,0,3,1,1,21248
480,21,38716,0,2,1,1,8253
481,14,1125076,0,3,1,1,23046
482,1,10954,500,1,1,1,2500
483,21,97099,0,1,1,1,6325
484,3,62396,2128,1,1,1,1250
485,13,40645,0,3,1,1,18348
486,19,82655,0,5,1,1,101101
487,6,84035,0,1,1,1,4240
488,19,1199220,2919,1,1,1,3800
489,16,86345,0,3,1,1,13415
490,10,2701,0,1,1,1,5000
491,38,46874,0,1,1,1,9689
492,32,10879,0,5,1,1,78186
493,0,12742,0,1,1,1,0
494,21,122904,0,4,1,1,37380
495,3,10994,0,1,1,1,1250
496,14,2318,0,2,1,1,8747
497,0,11070,0,1,1,1,0
498,0,21921,0,1,1,1,0
499,25,162521,0,5,1,1,57354
500,34,207545,0,1,1,1,11137
501,22,86112,0,4,1,1,35528
502,0,18328,0,1,1,1,0
503,19,217557,0,5,1,1,97584
504,1,11504,0,1,1,1,100
505,28,143200,0,5,1,1,79837
506,12,160703,0,4,1,1,32560
507,13,910,0,1,1,1,5172
508,1,94105,0,1,1,1,100
509,13,18422,0,1,1,1,3297
510,29,889456,1024,5,1,1,98959
511,34,9800,589,1,1,1,10348
512,22,148318,0,4,1,1,51197
513,6,26149,0,1,1,1,5190
514,17,76933,0,4,1,1,28075
515,16,346178,0,5,1,1,63803
516,32,22878,0,1,1,1,9039
517,30,66741,2880,5,1,1,71921
518,13,134060,0,4,1,1,46606
519,24,3305,0,1,1,1,31465
520,17,28930,0,1,1,1,8185
521,6,208519,0,1,1,1,4040
522,15,58951,0,4,1,1,47994
523,1,25395,0,1,1,1,2000
524,11,109248,0,1,1,1,6828
525,13,43387,0,1,1,1,4942
526,13,52423,0,4,1,1,26926
527,17,26858,500,4,1,1,34308
528,22,5410,0,4,1,1,45890
529,12,18177,0,3,1,1,12040
530,1,413509,0,1,1,1,2500
531,45,98472,1776,5,1,1,124421
532,20,86520,3445,5,1,1,64450
533,4,16648,0,1,1,1,625
534,51,267404,0,5,1,1,263685
535,18,31478,0,3,1,1,18885
536,3,17445,0,1,1,1,4500
537,17,49052,0,4,1,1,46718
538,0,21689,0,1,1,1,0
539,10,18302,0,1,1,1,2197
540,11,26220,0,1,1,1,2775
541,22,59552,0,1,1,1,7551
542,3,34962,0,1,1,1,252
543,1,16153,0,1,1,1,180
544,4,28931,0,1,1,1,6500
545,5,202636,0,1,1,1,19000
546,21,153962,0,5,1,1,90992
547,14,63311,0,4,1,1,25048
548,8,8561,0,1,1,1,2050
549,33,256219,0,3,1,1,29823
550,13,122700,0,3,1,1,18604
551,12,81419,0,2,1,1,7769
552,20,13873,0,1,1,1,4833
553,2,148,0,1,1,1,190
554,17,178919,0,3,1,1,23387
555,1,19702,0,1,1,1,3000
556,0,18820,0,1,1,1,0
557,1,213849,0,1,1,1,500
558,6,28077,0,1,1,1,735
559,1,4528,0,1,1,1,290
560,12,40418,0,3,1,1,12678
561,25,380930,0,2,2,1,22485
562,11,176849,0,1,1,1,7700
563,14,71235,0,4,1,1,41004
564,17,76446,0,5,1,1,63811
565,16,148915,0,3,1,1,23522
566,16,65034,0,3,1,1,14331
567,16,35738,0,4,1,1,41264
568,1,313,0,1,1,1,1600
569,0,55703,0,1,1,1,0
570,1,11613,0,1,1,1,2000
571,13,65672,0,4,1,1,29089
572,14,84785,0,1,1,1,4570
573,7,30592,862,1,1,1,2602
574,23,99293,0,5,1,1,81040
575,0,51830,0,1,1,1,0
576,28,20126,0,5,1,1,78999
577,2,3294,0,1,1,1,1330
578,6,11143,0,1,1,1,2800
579,2,8250,0,1,1,1,250
580,19,117670,0,5,1,1,53043
581,22,49454,0,2,1,1,9548
582,1,58421,0,1,1,1,1000
583,0,33443,0,1,1,1,0
584,0,13886,0,1,1,1,0
585,2,15349,0,1,1,1,250
586,0,78712,0,1,1,1,0
587,13,89742,0,4,1,1,39073
588,10,31311,0,1,1,1,3961
589,13,133445,8264,1,1,1,3375
590,15,136161,0,1,1,1,6032
591,0,9998,0,1,1,1,0
592,17,37904,0,3,1,1,19052
593,7,41243,0,4,1,1,27971
594,20,54011,1604,3,1,1,38380
595,1,5351,0,1,1,1,100
596,0,23334,0,1,1,1,0
597,0,11255,0,1,1,1,0
598,28,48127,0,4,1,1,41447
599,12,329497,0,5,1,1,57264
600,15,158895,0,4,1,1,41954
601,13,34540,0,4,1,1,27882
602,26,117623,0,5,1,1,86582
603,13,126409,0,4,1,1,28460
604,14,112843,0,3,1,1,16137
605,3,117240,0,1,1,1,1200
606,18,7216,0,3,1,1,21419
607,2,26412,0,1,1,1,5086
608,16,427528,0,4,1,1,35098
609,1,1846,0,1,1,1,450
610,10,45830,0,2,1,1,23404
611,50,179042,0,1,1,1,25078
612,7,41487,500,1,1,1,10885
613,9,39601,0,1,1,1,3733
614,13,46142,0,3,1,1,14445
615,18,110277,0,4,1,1,37110
616,14,122928,0,3,1,1,12211
617,16,146599,0,3,1,1,16463
618,16,338656,0,4,1,1,52908
619,17,54125,0,4,1,1,48874
620,15,29861,0,4,1,1,28190
621,8,126148,0,2,1,1,6273
622,32,62080,2975,2,1,1,19113
623,15,175131,0,5,1,1,53495
624,23,365918,0,5,1,1,83752
625,26,105547,0,3,1,1,24973
626,13,67615,0,3,1,1,14168
627,16,33554,0,4,1,1,27410
628,9,163083,0,1,1,1,3825
629,15,747983,0,4,1,1,26117
630,41,415070,588,5,1,1,153183
631,26,18111,0,1,1,1,4625
632,0,41526,0,1,1,1,0
633,9,38021,0,1,1,1,5538
634,0,17500,0,1,1,1,0
635,1,5906,0,1,1,1,280
636,16,70133,0,2,1,1,7396
637,6,32010,0,1,1,1,12315
638,15,82605,0,3,1,1,23049
639,32,77285,0,5,1,1,63841
640,0,15219,0,1,1,1,0
641,4,54889,0,2,1,1,13150
642,1,8910,0,1,1,1,150
643,1,49891,0,1,1,1,500
644,0,10484,0,1,1,1,0
645,0,15496,0,1,1,1,0
646,0,16714,0,1,1,1,0
647,15,25835,0,3,1,1,15153
648,1,3487,0,1,1,1,710
649,6,347096,0,1,1,1,12000
650,16,155962,1199,3,1,1,16510
651,18,160572,0,1,1,1,8163
652,4,257068,2586,1,1,1,5900
653,16,48410,0,4,1,1,37869
654,10,33269,0,1,1,1,4675
655,3,25685,0,1,1,1,185
656,14,50500,0,1,1,1,4765
657,15,97486,0,3,1,1,22707
658,8,323459,0,1,1,1,12000
659,10,11821,0,1,1,1,10697
660,18,37039,0,4,1,1,29976
661,3,28306,0,1,1,1,233
662,53,109532,0,5,1,1,128048
663,18,91974,0,3,1,1,19223
664,19,65823,0,4,1,1,28208
665,15,104824,0,3,1,1,14582
666,11,16061,0,1,1,1,2750
667,14,55237,0,2,1,1,5547
668,11,10491,0,1,1,1,5025
669,21,192334,0,4,1,1,33950
670,17,45501,0,4,1,1,49656
671,0,18661,0,1,1,1,0
672,14,89668,0,4,1,1,29130
673,6,53327,0,1,1,1,8650
674,14,133143,0,4,1,1,43643
675,15,22268,0,3,1,1,23582
676,14,26556,3490,1,1,1,2845
677,16,9601,0,3,1,1,20467
678,13,280561,0,3,1,1,12154
679,4,146248,0,1,1,1,2900
680,1,9483,0,1,1,1,1000
681,17,119082,5051,1,1,1,4230
682,30,232171,0,3,1,1,22258
683,35,369816,1745,4,1,1,46942
684,16,37381,0,1,1,1,6091
685,25,173543,0,5,1,1,92752
686,4,31211,0,1,1,1,280
687,20,47780,0,5,1,1,88773
688,13,79479,0,3,1,1,23167
689,22,81960,0,4,1,1,37072
690,15,20162,0,1,1,1,2750
691,17,105683,0,4,1,1,28386
692,28,234327,0,4,1,1,30406
693,17,463494,0,3,1,1,27390
694,27,17334,0,1,1,1,6783
695,4,57909,0,1,1,1,5150
696,0,17949,0,1,1,1,0
697,28,529477,0,2,1,1,31624
698,0,71543,0,1,1,1,0
699,14,111897,0,3,1,1,14728
700,0,61598,0,1,1,1,0
701,18,417875,0,4,1,1,44472
702,43,340874,0,5,1,1,68090
703,0,32774,0,1,1,1,0
704,18,242910,1115,5,1,1,103935
705,24,137843,0,4,1,1,45416
706,12,30530,0,1,1,1,5590
707,0,30973,0,1,1,1,0
708,14,238749,0,1,1,1,7134
709,6,16803,0,1,1,1,1287
710,4,23553,810,1,1,1,1587
711,24,48161,0,4,1,1,41174
712,0,21616,0,1,1,1,0
713,13,13114,0,2,1,1,14029
714,17,117120,0,4,1,1,41278
715,15,52987,0,3,1,1,17510
716,17,150176,0,4,1,1,29999
717,21,19002,0,3,1,1,22675
718,31,60976,0,5,1,1,97318
719,2,50675,0,1,1,1,1100
720,13,65466,0,2,1,1,5488
721,18,64280,0,3,1,1,21721
722,4,14523,0,1,1,1,4197
723,16,384470,0,3,1,1,20468
724,2,9157,0,1,1,1,75
725,25,151904,733,5,1,1,76440
726,19,13781,0,4,1,1,48914
727,16,40567,0,3,1,1,18122
728,10,43090,0,3,1,1,11411
729,3,1875,0,1,1,1,1250
730,19,126555,0,4,1,1,41253
731,12,16472,0,4,1,1,45517
732,10,21270,0,1,1,1,318
733,12,33410,0,1,1,1,818
734,3,15750,0,1,1,1,1065
735,12,104665,0,2,1,1,9547
736,14,86285,0,5,1,1,61274
737,10,41967,0,1,1,1,2125
738,27,35026,0,1,1,1,9799
739,14,138411,0,5,1,1,53843
740,15,127693,0,3,1,1,17383
741,14,52050,0,4,1,1,43190
742,0,37162,0,1,1,1,0
743,15,440265,4081,1,1,1,22750
744,14,66572,0,2,1,1,8048
745,15,237093,0,4,1,1,42020
746,12,79561,0,1,1,1,6333
747,17,131528,0,2,1,1,10365
748,5,11820,0,1,1,1,2045
749,13,20810,0,1,1,1,1713
750,31,189423,0,5,1,1,63584
751,13,96477,0,1,1,1,2987
752,5,106471,0,1,1,1,8444
753,13,33374,0,3,1,1,20441
754,16,210018,0,4,1,1,48914
755,7,26740,0,1,1,1,619
756,14,244216,0,4,1,1,39166
757,31,76737,0,4,1,1,34648
758,13,20999,0,3,1,1,15914
759,6,43179,0,3,1,1,11915
760,16,119214,0,2,1,1,10028
761,10,14988,0,1,1,1,2100
762,20,21334,0,1,1,1,5472
763,24,104307,0,4,1,1,51769
764,25,34357,0,5,1,1,73622
765,26,231437,0,3,1,1,31266
766,12,14662,0,1,1,1,1110
767,18,13144,0,3,1,1,18615
768,11,10978,0,3,1,1,14313
769,20,150698,0,4,1,1,43589
770,2,18035,0,1,1,1,811
771,10,194604,0,2,1,1,6606
772,21,117852,2376,1,1,1,11406
773,19,32356,0,3,1,1,22918
774,26,44247,948,4,1,1,40939
775,10,23431,0,1,1,1,3546
776,15,37773,0,2,1,1,8436
